"scenario","ratio_value","setting_seed","repetition","x_stop","n_target_total","n_marker_actual","n_target_band","x_end","x_count","n_count","c_true","c_hat","sigma_L","valid","invalid_reason"
"CSR",1,101123,1,333,105000,101590,5251,0.0663397554308176,333,365,105000,95794.5205479452,8.13704228804463,TRUE,NA
"CSR",1,101123,1,800,105000,101590,5251,0.157631209585816,800,848,105000,99056.6037735849,5.75122767099449,TRUE,NA
"CSR",1,101123,2,333,105000,105419,5163,0.0652775766793638,333,351,105000,99615.3846153846,8.20391524904314,TRUE,NA
"CSR",1,101123,2,800,105000,105419,5163,0.150810557650402,800,783,105000,107279.69348659,5.83571409299333,TRUE,NA
"CSR",1,101123,3,333,105000,105265,5206,0.0659283625427634,333,339,105000,103141.592920354,8.2651510571314,TRUE,NA
"CSR",1,101123,3,800,105000,105265,5206,0.152884080773219,800,834,105000,100719.424460432,5.7684117889836,TRUE,NA
"CSR",1,101123,4,333,105000,103158,5263,0.0614318067673594,333,330,105000,105954.545454545,8.31367711824824,TRUE,NA
"CSR",1,101123,4,800,105000,103158,5263,0.146748522762209,800,751,105000,111850.86551265,5.88215488754933,TRUE,NA
"CSR",1,101123,5,333,105000,105063,5214,0.0656165091786534,333,356,105000,98216.2921348315,8.17949170571763,TRUE,NA
"CSR",1,101123,5,800,105000,105063,5214,0.153581472113729,800,834,105000,100719.424460432,5.7684117889836,TRUE,NA
"CSR",1,101123,6,333,105000,105363,5276,0.065832769498229,333,366,105000,95532.7868852459,8.13244128752484,TRUE,NA
"CSR",1,101123,6,800,105000,105363,5276,0.144084366271272,800,792,105000,106060.606060606,5.82326622435268,TRUE,NA
"CSR",1,101123,7,333,105000,104089,5180,0.0644787847995758,333,349,105000,100186.246418338,8.21385975363555,TRUE,NA
"CSR",1,101123,7,800,105000,104089,5180,0.147358264774084,800,770,105000,109090.909090909,5.8541591950029,TRUE,NA
"CSR",1,101123,8,333,105000,105908,5237,0.0707331320736557,333,384,105000,91054.6875,8.0533138266257,TRUE,NA
"CSR",1,101123,8,800,105000,105908,5237,0.159743405412883,800,855,105000,98245.6140350877,5.74282799029995,TRUE,NA
"CSR",1,101123,9,333,105000,100251,5213,0.0671765645965934,333,335,105000,104373.134328358,8.28643126998051,TRUE,NA
"CSR",1,101123,9,800,105000,100251,5213,0.15307057579048,800,741,105000,113360.32388664,5.89740990152418,TRUE,NA
"CSR",1,101123,10,333,105000,102508,5092,0.0625656230840832,333,346,105000,101054.913294798,8.22896901364322,TRUE,NA
"CSR",1,101123,10,800,105000,102508,5092,0.148820514790714,800,773,105000,108667.529107374,5.8498527760487,TRUE,NA
"CSR",1,101123,11,333,105000,101571,5331,0.0682339027989656,333,328,105000,106600.609756098,8.3247823876365,TRUE,NA
"CSR",1,101123,11,800,105000,101571,5331,0.16290912241675,800,808,105000,103960.396039604,5.80175874344896,TRUE,NA
"CSR",1,101123,12,333,105000,105841,5292,0.0641065670643002,333,328,105000,106600.609756098,8.3247823876365,TRUE,NA
"CSR",1,101123,12,800,105000,105841,5292,0.14245000644587,800,775,105000,108387.096774194,5.846998606112,TRUE,NA
"CSR",1,101123,13,333,105000,104754,5286,0.0622221219819039,333,353,105000,99050.9915014164,8.19407156555708,TRUE,NA
"CSR",1,101123,13,800,105000,104754,5286,0.150753292720765,800,811,105000,103575.832305795,5.797811925227,TRUE,NA
"CSR",1,101123,14,333,105000,100714,5286,0.0633641968015581,333,306,105000,114264.705882353,8.45540865278229,TRUE,NA
